"","GupDM_JM","GupDM_A13","GupDM_JI","GupDM_A7","GupDM_A2","GupDM_A_11","GupDM_JC","GupDM_JN","GupDM_JJ","GupDM_A1","GupDM_JE","GupDM_A12","GupDM_JL","GupDM_A14","GupDM_A3","GupDM_A10","GupDM_A_15","GupDM_JH","GupDM_JD","GupDM_A9","GupDM_A6","GupDM_JB","GupDM_JA","GupDM_HAK","GupDM_HAJ","GupDM_HAI","GupDM_HAH","GupDM_HAG","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HDF","GupDM_HDB","GupDM_HCY","GupDM_HCL","GupDM_HCU","GupDM_HCV","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HP","GupDM_HS","GupDM_HR","GupDM_HBR","CRC_MR_SBJ01C_17","CRC_MR_SBJ02C_17","CRC_MR_SBJ03H_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ12C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ17H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ22C_17","CRC_MR_SBJ26C_17","CRC_MR_SBJ27C_17","CRC_MR_SBJ29C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ33C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ37H_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ40C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ47C_17","CRC_MR_SBJ50C_17","CRC_MR_SBJ51C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ61C_17","CRC_MR_SBJ63H_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ67H_17","CRC_MR_SBJ68H_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ81H_17","CRC_MR_SBJ83H_17"
"562",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,NA,Inf,Inf,NA,NA,NA,Inf,Inf
"28117",-2.8704594827156,-Inf,-3.19988224520471,-3.27303620424789,-1.93826286495932,1.98199553602424,-1.9258142360081,-2.394071319374,-2.83362559542295,-0.964965566357159,-2.47596340597801,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.49707370608753,-Inf,2.54717289509333,-Inf,-Inf,-Inf,0.745129211326118,-Inf,-Inf,-Inf,-Inf,1.24043334889739,0.487229217705496,-Inf,-Inf,-Inf,-Inf,1.59717034094673,-2.97563636050678,0.811892515488655,-Inf,-Inf,-3.28810592090268,1.70119408747384,-Inf,-Inf,-Inf,-2.6277401974501,-Inf,-6.30784087068198,-Inf,-Inf,-0.83445828813724,-2.44995649724289,1.32246314211002,0.49625766747132,-4.03156280328183,-6.21933104537601,-0.512158245939907,-5.69216900229033,-1.30835577008824,0.390553966719759,-Inf,0.958259165550552,-Inf,0.448687897933582,-5.46902545097612,-0.693400132842314,0.605817260620538,1.22595456199403,1.0597865527532,-2.02129795271998,0.0539720634944212,-0.598146173346654,-0.54310921374905,-0.755618888584737,-Inf,-0.231230975308173,0.85729693507603,0.124727187478492,-Inf,-1.52285870098114,-2.79518336194439,-1.34345142243927,0.187855630215271,-0.449929750962037,0.187366435203069,-Inf,-2.26736360684261,-Inf,-0.704622283865711,-5.2738242313185,-0.872514873626057,0.0804180545225623,0.988833790443342,0.715043253470454,-1.06514219966929,-Inf,-1.91915266897019
"28123",NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",-1.11922716976345,-Inf,-1.36919237017812,-2.74401393487462,-0.384510400804255,0.255047949685238,-2.38432353651097,-1.02335384899124,-0.526999268450166,-1.66451993659923,-Inf,-3.05141971200397,-Inf,-0.34963513934315,-1.31092150066539,-Inf,-Inf,-0.361369269876357,-1.10239459370586,-3.7305413134001,0.580039763596552,-0.944488045892911,-Inf,-Inf,-2.14532500881227,-Inf,-Inf,-Inf,-Inf,-2.76817298197121,0.100753635146072,-0.983325052243503,-Inf,-Inf,-Inf,1.48073567783586,-2.255479315488,-0.750154761060962,-Inf,-Inf,-3.1680527737223,1.735493284721,-2.04705107807912,-Inf,-Inf,-5.17821392435559,-0.355960401202449,-3.25611926631068,-Inf,-Inf,-Inf,-2.37890657049161,-1.55187852442518,-1.44713799093672,-2.80215295283233,0.150440400879661,-0.977893218570465,0.743924165064161,-1.67317014553872,-0.324397588391427,-8.86678082963123,0.464539684029199,-1.03821007090352,-0.0831240949755792,-0.360236638080521,-1.61246155046109,-1.52498918277516,-0.518390979208036,0.545544827900246,-1.40585908639357,-0.401694421289494,-0.019385014607372,-3.57071599813648,-2.68925173945046,0.71186607629562,-2.16996265468949,-0.021963358141976,0.922415474482627,-1.05696559768865,-0.963276897440219,0.341529984184413,-1.95258384306961,-2.11187083287866,-0.108869429884269,1.37399023749399,-2.45467524687841,-1.88448642145692,-0.896230440401979,-0.00303601259089348,1.00116179576509,-0.742696895213585,-0.258965703806164,-1.87927904068392,0.397775436773356,0.232850024023545,1.29414010050645,-2.59131284295227
"363265",Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,NA,Inf,Inf,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,Inf,Inf,NA,Inf,NA,Inf,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,Inf,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262924",Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,NA,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,NA,Inf,Inf,NA,NA,NA,NA,Inf,NA,NA,Inf,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262869",NA,Inf,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA
"204516",NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,NA,NA,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,Inf,Inf
"28125",NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28118",2.98226860498262,-Inf,2.58193822281251,-3.92963389061692,0.775309451626357,1.76344942482686,3.53994822705789,3.00628186991319,2.80626269582015,-0.521466987559964,1.91991716807095,-0.526189546514138,0.313712271896744,0.621604715889541,1.74112246881609,-Inf,-Inf,-0.177290111739713,3.10480592844176,-Inf,1.232505288278,-0.129591767533952,-Inf,-2.67739691494511,-1.50098386003656,-Inf,-3.06547632784455,-1.83572692730873,-Inf,0.249555422309018,-1.24752042949394,-Inf,-3.88055162771604,-Inf,-Inf,0.627016033425161,-1.23235726302463,-1.81123712642682,-Inf,-Inf,-2.9526463634212,-1.28463456518948,0.0728240725075473,-Inf,-Inf,-Inf,-1.62325233234409,-2.77572813895529,-Inf,-2.89607832140429,-1.39710632555037,-1.476726646734,1.3018289825655,-0.356185944690036,-2.12689200472026,-0.864123777670295,-1.46915404008003,0.445420642584304,-0.733342472719197,0.138668989920971,0.145175493203931,-Inf,0.196015125040844,-0.233998170451799,0.1262079010784,-0.54559723038654,0.638694100991341,-0.0222104038309174,1.16878753139669,-1.56151384057716,-0.693388324548188,-0.410880720203123,-1.88674178650027,-Inf,-0.0553446063034064,-0.0402203928758773,0.83387102317074,-0.854954365246308,0.392017324315942,-0.68006821001874,0.330710244197194,-0.857111006263816,-0.586663700157495,0.0961340149787242,-0.475157457427275,0.21657333352462,-2.76955527984821,0.804636103874889,-0.742014504479032,-1.63740902842447,-1.0787500935788,-0.636481834307041,0.287308274479201,-0.118211106240302,-0.623264187594591,-0.17821177079113,-0.376005097634022
"281920",NA,NA,NA,NA,Inf,Inf,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262803",NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33033",NA,NA,Inf,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,Inf,Inf,NA,NA,Inf,Inf,NA,NA,Inf,NA,NA,NA,Inf,Inf,NA,NA,Inf,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,NA,Inf,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,Inf,Inf,Inf,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,Inf,Inf,Inf,NA,NA
"1261",NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329854",1.80343677610097,-Inf,1.56189301828821,-Inf,-0.845483455862635,2.91396356049382,2.34756853967149,1.76290545664242,4.40626262967783,-0.227326276179527,3.51876949876747,-Inf,-Inf,-Inf,3.87027058405327,-Inf,-Inf,-Inf,3.86903478232099,-Inf,0.902345084139692,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.58968151389175,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.08443782678073,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.268698090641765,-Inf,-3.91026707872588,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.06852141754508,-Inf,-Inf,1.85285952850758,-Inf,-Inf,1.50399928398136,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-4.79631792541032,-Inf,-Inf,-Inf,-Inf,-3.46468197682829
"818",-0.397126029075324,1.47691460556677,0.0793224288171057,-3.40290069579339,-0.475843084549555,0.264884130536424,-2.24938546591521,-0.299657952825979,-2.58446502972377,0.0736732023537945,-1.98270478299782,-1.39465806036142,-Inf,0.431744909070576,1.9176644377779,-0.276697694727362,-2.60955936373856,0.370203096139784,-2.7414397240931,-1.26962646757334,0.592662604161585,0.686199608512811,-Inf,-Inf,-2.13995013402466,-5.86067019399425,-3.41576887881995,-Inf,-Inf,-1.16002530039626,-0.441477544034473,-Inf,-Inf,-Inf,-Inf,-0.67186978211266,-3.45948949729608,-1.00292945595753,-Inf,-4.39712155503127,-Inf,-2.73944212055228,-Inf,-Inf,-Inf,-Inf,-1.92291770062775,-Inf,-Inf,-Inf,-4.42795866086582,-2.83660994168699,-2.54377293596635,-Inf,-3.82280507916015,-3.78349365894527,-3.16262462386197,-0.90787494072268,-2.9344965628051,-3.91217773233546,-Inf,-Inf,1.22811621678134,-Inf,-0.844499719409881,-Inf,-1.53154567276489,-2.69838866210145,-0.0490416075524767,-Inf,-0.15334949153416,-1.03911225748494,-3.2915527165698,-2.38075363938557,-Inf,-2.11923692806158,-1.69769481676996,-0.202497426166091,-Inf,-2.11175186317501,-1.60162958673173,-3.22161286437899,-Inf,-0.185637949617833,-Inf,-6.75902322518174,-3.46483380600801,-5.4476919025353,-1.49875392627123,-Inf,-Inf,-Inf,0.406358617338966,-0.117739523026836,-Inf,-0.018543267454989,-1.75918676996794
"1263006",Inf,NA,Inf,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,Inf,Inf,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47678",-0.691293023703874,-Inf,-1.85852297846193,-1.48215555689084,-Inf,-0.808575708991366,-0.604048420595937,-0.553093888037155,-1.80296178027247,-2.27882489296648,-Inf,-Inf,-Inf,-0.706278610870982,1.21158146691409,-Inf,-Inf,-0.818072884167624,-1.43671848660945,-Inf,-2.73530814161915,-Inf,-Inf,-Inf,-0.45221656793314,-Inf,-2.94280224709584,-2.80361678796435,-Inf,-2.58529274015724,0.559572355713828,-2.82963957414177,-Inf,-Inf,-Inf,0.406437193610309,-1.6279907595035,-0.431052764952549,-Inf,-Inf,-4.30679591385157,-0.674406647692378,-2.46352431896242,-Inf,-Inf,-Inf,-0.201090763420497,-5.00264033138052,-Inf,-6.07263169806983,0.443115744518197,-1.80249384098593,-2.60948280010066,-2.31933676188339,-2.10788925033237,-Inf,-1.76310167549333,-Inf,-0.782120309600329,-3.14501388551782,-Inf,-Inf,-Inf,-1.3139803476685,-Inf,-Inf,-0.932385086387889,-2.08558157048235,-7.61176526341917,-5.4487586433933,-0.209196273555286,-0.627014964945117,-1.30859194996763,-3.09207301855786,-0.0935615586587142,-3.20191822093293,-0.80371881496244,-1.85532650928866,-0.782705740330333,-1.43427806595117,-Inf,-8.06900664105106,-1.82121609002267,-0.711681537530795,0.361428105812322,-1.10510392608364,-3.13578466426543,-Inf,-0.171467754006084,-0.700959595735281,-1.06623107935316,-1.50820148896816,-Inf,-Inf,-Inf,-Inf,-Inf
"40518",Inf,NA,Inf,NA,NA,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,Inf,Inf,NA,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,NA,Inf,Inf,Inf,Inf,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,Inf,Inf,NA,NA,NA,Inf,Inf,Inf,NA,NA,Inf,Inf,NA,NA,Inf,NA,Inf,Inf,NA,NA,NA,Inf,NA,Inf,Inf,NA,Inf,NA,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NA,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,Inf,Inf,NA,Inf,Inf,NA,NA
"821",1.12879552870819,-Inf,0.51403700675047,-1.45617827393231,-0.829801275974146,-1.53756558335833,0.588492294230345,1.18223001159815,-0.243252031250336,-0.182928240071954,0.734267375425583,0.10391264162114,-2.73937462915591,1.39935844023898,1.94868432403818,-1.575370443782,-4.45490444056695,1.67129923795084,-0.0548058110162195,-0.181978811595287,-Inf,0.716129299143123,-Inf,-Inf,1.73131990472758,-1.44004621422811,-3.03011540321101,-0.928462201026871,-Inf,-0.901476655127816,2.22088169973115,-4.44179326942583,-3.53284202003972,-Inf,-Inf,-Inf,0.28029425158724,0.51246510987564,-Inf,-Inf,-Inf,-0.819850089934212,0.336469545848813,-Inf,-Inf,-3.99982994327444,-0.0484224037094361,-Inf,-Inf,-1.67881986789082,-0.717521525856105,0.318245541791241,-0.338236245120361,-1.24148920262756,-2.37069885401649,-0.515147354436111,-0.952171863894574,0.614972027414573,-1.09345395816593,0.400668539128683,-8.76524060298123,1.12607402125057,-Inf,-0.252391315427603,1.63252731434581,-1.11889511820858,0.859533731814925,0.128317915372117,-0.717731091999807,-3.81147978737915,0.950156370110979,0.250614882747601,-0.93633057857255,-0.693812021406199,-6.44895666562902,-0.995949406054714,-0.520426484826378,-0.293481317722986,-0.677759283393046,-1.02567125318838,-Inf,-1.63714570001762,-0.540263886831349,-0.747273899487631,-0.594435545149467,-0.67490699950145,-0.0846919355181477,-0.597365249050161,-1.39568333993169,1.46609342104807,0.231938555532778,-0.483075965728058,-Inf,0.847434695837023,0.217978489412509,0.138712811335203,-0.793523975932936
"823",0.658563013404808,-Inf,0.496303652051991,-0.840709582035603,0.330969997920707,-0.303204833853583,0.835806916736991,0.632995461080704,0.182178073007377,-0.692583693482186,1.96089569196843,-3.92158910610735,0.832946104549231,0.278405634937728,0.708977519020809,-Inf,-2.14845344554599,0.296433976061549,0.509264644237127,-Inf,-1.22439255802652,0.229935425162981,0.83556697645431,-2.68981193446125,1.1329813862945,-Inf,-3.47242977428844,-2.38666515375639,-Inf,-0.343415809140673,-0.581654590937993,-0.781584059921529,-Inf,-Inf,-Inf,-0.649209292042449,-2.67512782284664,-1.52172051938166,-Inf,-3.04487093406774,-Inf,-0.406244267680496,-Inf,-Inf,-Inf,-2.01118475509527,-0.838573893888461,-Inf,-Inf,-Inf,-2.76372253857519,-4.43310474197593,-1.96049659054185,0.0147706260988034,1.11050087896628,0.731942506822566,-1.1093793171047,-0.0727742431520024,-0.656039018929656,-0.503260464841751,2.19059948305752,0.940382524976702,2.04792918305624,-0.00614722330508322,0.0677493448935662,-1.84124264548527,0.674851937889187,-1.08454876187551,1.09600587583109,-1.06509511485597,-0.285651594114165,0.129381276689363,-0.609804515184502,-0.500146252047974,0.779196908309092,-0.819578476470681,-1.79004949824951,0.511995273240105,-1.55372210565536,-Inf,0.11899044435268,-2.10286419578283,-0.986148478255325,-0.807648526642814,0.0350125122996365,-0.209785096138326,-2.99408368804552,-0.411705137402394,-0.365723847813024,0.122015643002364,0.557145874533902,-0.903298908180851,2.43186191336046,-Inf,0.0531050546322263,0.326750924725104,-0.654598338205638
"33043",NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,Inf,Inf,Inf,NA,NA,NA,Inf,NA,Inf,NA,Inf,Inf,Inf,NA,NA,Inf,NA,NA,NA,NA,Inf,NA,Inf,NA,Inf,Inf,NA,Inf,NA,NA,NA,NA,Inf,Inf,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,Inf
"39491",-5.62754679851996,-Inf,-Inf,-2.63592682147499,-Inf,-2.23357816145662,-Inf,-5.67851689144736,-Inf,-4.59311327190008,-Inf,-Inf,-Inf,-3.99449269253078,-Inf,-5.30975315018962,-Inf,-3.70913090173744,-Inf,-Inf,-Inf,-Inf,-Inf,0.319862587731881,-2.04581306199407,-0.41690190759748,0.67844519913174,-1.16814820150413,1.15014621699017,-3.18926209009854,-1.44365282717733,0.470162295485608,-1.594952910634,-2.52131647529645,0.290675913276879,-2.54535001253628,-1.10959510705535,-0.849676853182745,-1.86944185527165,-Inf,-Inf,-1.07469897070928,0.00984768848429862,-0.544641917776646,-3.83615963011527,-3.65806719835093,0.681738824417072,-Inf,-0.530756005721974,-1.20058603274545,-3.01614770937071,-1.15342564567325,-2.01613102440672,-Inf,-7.90314044297169,-1.58408420149875,-0.883124595500125,-2.07189568014126,-1.07135691202881,-1.4463451922046,-6.17110020844526,-1.87460003980117,-8.88396969598342,1.63662135768028,-4.40877615163569,-Inf,-3.19390405685172,-2.0145033904458,-0.840986067815222,0.0978412701557687,-3.60209105577854,1.09971239216469,1.03921746632339,-2.37552459258445,0.105984190043721,0.250059162997991,-3.34247883935047,-0.307108520916319,-2.38584034323306,-1.38231123051361,-Inf,-2.16634026122166,-1.05676346649107,-5.24029986730342,0.556246298587652,-6.72951479503505,-0.192971789654616,0.746573984293337,-Inf,-Inf,0.789974340096222,-3.03172557123236,-2.34250061885013,-3.98095189093575,1.07263061789433,-Inf,0.264205375186114
"97478",Inf,NA,NA,NA,NA,Inf,NA,Inf,NA,Inf,NA,NA,NA,Inf,NA,Inf,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28116",2.02889166315173,-Inf,1.30046078507674,-2.62345077035874,-0.0508339936534625,0.655456710730662,2.42754613832659,2.12437227329307,1.3912943715366,0.590194005091906,0.187515030308179,2.03404285225779,-0.421538632859569,1.12253663639215,2.50367406662906,1.35472128112861,-Inf,1.68218255954429,1.93557880559124,-1.11824899765793,2.20983450733096,-Inf,-1.13679646376538,-0.179060093493409,0.232964667224987,-0.497746433842409,-3.48978918994304,0.661451449749814,-Inf,-0.261159390412431,-Inf,-2.0034956851655,-0.145716894897489,-Inf,-1.70015662686949,4.89715495381371,0.645694596929774,1.58145517288531,-Inf,-Inf,-Inf,2.21245763973593,-0.18081892690942,-Inf,-1.12727960351802,-1.93358472622496,1.85492778839107,-Inf,-Inf,-Inf,-0.674143013346312,0.406271397206472,-0.193952323938712,-0.0341071998481492,-1.08611615182599,1.26095187445534,-1.42659075415636,0.230565598283527,-Inf,0.775202181830641,-Inf,1.52171447111168,-Inf,-0.0481098148972423,-3.65080949290107,-2.08664049726817,-0.0563504315411114,-0.80302146411317,-0.868698860589791,-Inf,1.53370919438265,-Inf,-1.25382221047986,0.276536446236865,1.8023476433089,-1.99870104596598,1.20590249429655,1.00516135367126,-Inf,-4.21752195015277,-0.822698701373835,-5.11493049430559,-4.85644757654607,-Inf,-Inf,-1.15144874055225,-5.64268518017203,-1.41229713935471,0.63914837512112,-Inf,0.26476792024217,1.02043194082909,-2.03539943265682,1.09351476790069,0.538618328811227,2.81781118382672,-1.32666155310688
